INFO:12:34:50 Selected port: COM1 - MOXA USB Serial Port (COM1)
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 654, 'Temperature': 292.9}
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 660, 'Temperature': 292.9}
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 695, 'Temperature': 292.9}
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 691, 'Temperature': 292.9}
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 687, 'Temperature': 254.1}
INFO:12:36:05 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 683, 'Temperature': 254.1}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 683, 'Temperature': 254.1}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 564, 'Temperature': 254.1}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 544, 'Temperature': 254.1}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 538, 'Temperature': 263.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 491, 'Temperature': 263.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 490, 'Temperature': 263.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 434, 'Temperature': 263.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 395, 'Temperature': 263.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 429, 'Temperature': 323.9}
INFO:12:36:06 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 418, 'Temperature': 323.9}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 697, 'Temperature': 323.9}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 699, 'Temperature': 323.9}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 714, 'Temperature': 322.7}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 724, 'Temperature': 322.7}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 734, 'Temperature': 322.7}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 736, 'Temperature': 322.7}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 731, 'Temperature': 322.7}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 726, 'Temperature': 266.2}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 699, 'Temperature': 266.2}
INFO:12:36:07 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 473, 'Temperature': 266.2}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 459, 'Temperature': 266.2}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 445, 'Temperature': 320.7}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 383, 'Temperature': 320.7}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 687, 'Temperature': 320.7}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 719, 'Temperature': 320.7}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 751, 'Temperature': 320.7}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 741, 'Temperature': 327.9}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 764, 'Temperature': 327.9}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 782, 'Temperature': 327.9}
INFO:12:36:08 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 773, 'Temperature': 327.9}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 763, 'Temperature': 219.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 716, 'Temperature': 219.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 366, 'Temperature': 219.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 349, 'Temperature': 219.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 570, 'Temperature': 219.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 587, 'Temperature': 305.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 559, 'Temperature': 305.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 782, 'Temperature': 305.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 754, 'Temperature': 305.0}
INFO:12:36:09 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 756, 'Temperature': 209.1}
INFO:12:36:10 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 777, 'Temperature': 209.1}
INFO:12:36:10 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 749, 'Temperature': 209.1}
